Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Ashok Pal Singh,male,1954-05-26T00:00:00Z,Uttar Pradesh,Not Available,2011-09-05T00:00:00Z,2016-05-25T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Meerut University,1977,1980,Uttar Pradesh,No,No,No,,2011-09-05 00:00:00+00:00
Ashok Srivastava,male,1951-12-29T00:00:00Z,Uttar Pradesh,Not Available,2009-04-13T00:00:00Z,2013-12-28T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad University,1973,Not Applicable,Not Applicable,No,No,No,,2009-04-13 00:00:00+00:00
Ashwani Kumar Mishra,male,1968-11-16T00:00:00Z,Not Available,Not Available,2014-02-03T00:00:00Z,2030-11-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Kirori Mal College,Econimics,"Campus Law Center, University of Delhi",1993,1993,Not Available,No,Yes,No,,2014-02-03 00:00:00+00:00
Ashwani Kumar Singh,male,1954-06-15T00:00:00Z,Uttar Pradesh,Not Available,2009-04-13T00:00:00Z,2016-06-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,No,No,No,Not Available,Not Available,Not Available,Lucknow University,1978,1979,Not Available,No,No,No,,2009-04-13 00:00:00+00:00
Attau Masoodi,male,1963-08-03T00:00:00Z,Not Available,Not Available,2014-02-03T00:00:00Z,2025-08-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Government High School Trehgam,Sri Pratap College J&K,Science,Lucknow University,1988,1989,Uttar Pradesh,No,No,No,,2014-02-03 00:00:00+00:00
B. Amit Sthalekar,male,1958-12-25T00:00:00Z,Uttar Pradesh,Not Available,2011-11-21T00:00:00Z,2020-12-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1983,1983,Not Available,No,No,No,,2011-11-21 00:00:00+00:00
Bachchoo Lal,male,1959-07-03T00:00:00Z,Not Available,Not Available,2013-01-22T00:00:00Z,2021-07-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1980,Not Applicable,Not Applicable,No,No,No,,2013-01-22 00:00:00+00:00
Bala Krishna Narayana,male,1958-07-27T00:00:00Z,Uttar Pradesh,Not Available,2008-05-05T00:00:00Z,2020-07-26T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,ALLAHABAD UNIVERSITY,1983,1983,Uttar Pradesh,No,No,No,,2008-05-05 00:00:00+00:00
Balbir Singh Chauhan,male,1949-07-02T00:00:00Z,Not Available,Not Available,1995-04-05T00:00:00Z,2008-07-15T00:00:00Z,No,No,Allahabad,Yes,Rajasthan,1997-07-17T00:00:00Z,Allahabad,2003-03-13T00:00:00Z,Not Applicable,Not Applicable,Yes,Orissa,Not Applicable,Not Applicable,Yes,2009-05-11T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Meerut University,Science,Baras Hindu University,1974,1974,Not Available,Yes,No,Yes,,1995-04-05 00:00:00+00:00
Barkat Zaidi,male,1947-02-10T00:00:00Z,Uttar Pradesh,Not Available,2005-10-20T00:00:00Z,2009-02-09T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1971,Not Applicable,Not Applicable,No,Yes,No,,2005-10-20 00:00:00+00:00
Bhagwan Din,male,1939-12-15T00:00:00Z,Not Available,Not Available,1996-11-19T00:00:00Z,2001-12-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Lucknow University,Not Available,1965,Uttar Pradesh,No,No,No,,1996-11-19 00:00:00+00:00
Bhanwar Singh,male,1945-02-01T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2007-01-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1967,Not Applicable,Not Applicable,No,No,Yes,,1999-03-26 00:00:00+00:00
Bharat Agrawal,male,1945-02-08T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2007-02-07T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Agra University,SCIENCE,AGRA UNIVERSITY,1967,Not Applicable,Not Applicable,No,No,No,,2005-02-07 00:00:00+00:00
Bharat Bhushan,male,1955-10-04T00:00:00Z,Uttar Pradesh,Not Available,2013-01-03T00:00:00Z,2017-10-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1976,Not Applicable,Not Applicable,No,No,No,,2013-01-03 00:00:00+00:00
Bharati Sapru,female,1958-07-29T00:00:00Z,Uttar Pradesh,Not Available,2005-10-05T00:00:00Z,2020-07-28T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,ALLAHABAD UNIVERSITY,Not Available,1983,Uttar Pradesh,No,No,No,,2005-10-05 00:00:00+00:00
Bhupendra Kumar Rathi,male,1941-05-25T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2003-05-24T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Agra University,Science,Agra University,1961,1962,Uttar Pradesh,No,No,No,,1999-02-05 00:00:00+00:00
Biswanath Somadder,male,1963-12-15T00:00:00Z,Kolkata,Not Available,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Sikkim,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Calcutta University,Arts,Calcutta University,Not Available,1989,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
Brahma Nand Shukla,male,1949-05-05T00:00:00Z,Uttar Pradesh,Not Available,2008-07-21T00:00:00Z,2011-05-04T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Gorakhpur University,Not Available,Gorakhpur University,1971,Not Applicable,Not Applicable,No,No,No,,2008-07-21 00:00:00+00:00
Chandra Dhari Singh,male,1969-07-12T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2031-07-11T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,No,Yes,No,Not Available,Not Available,Not Available,Delhi University,1993,1994,Not Available,No,No,No,,2017-09-22 00:00:00+00:00
Dantuluri Varma,male,1949-09-05T00:00:00Z,Andhra Pradesh,Not Available,1999-05-17T00:00:00Z,2011-09-04T00:00:00Z,No,No,Andhra Pradesh,Yes,Allahabad,2010-10-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Sri Y.N. College,Arts,Andhra University,Not Available,1974,Not Available,No,No,Yes,,1999-05-17 00:00:00+00:00
Dasu Ram Azad,male,1958-12-25T00:00:00Z,Uttar Pradesh,Not Available,2009-04-13T00:00:00Z,2010-04-10T00:00:00Z,Yes,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,2009-04-13 00:00:00+00:00
Daya Shankar Tripathi,male,1957-01-05T00:00:00Z,Uttar Pradesh,Not Available,2016-11-15T00:00:00Z,2019-01-04T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad University,1980,Not Applicable,Not Applicable,No,No,No,,2016-11-15 00:00:00+00:00
Deepak Verma,male,1965-03-30T00:00:00Z,Uttar Pradesh,Not Available,2019-12-12T00:00:00Z,2027-03-29T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1989,1992,Uttar Pradesh,No,No,No,,2019-12-12 00:00:00+00:00
Dev Kant Trivedi,male,Not Available,Not Available,Not Available,1997-02-03T00:00:00Z,2001-01-14T00:00:00Z,No,No,Allahabad,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,1997-02-03 00:00:00+00:00
Devendra Gupta,male,1942-09-03T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2004-09-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Allahabad University,COMMERCE,ALLAHABAD UNIVERSITY,1966,1967,Uttar Pradesh,No,Yes,No,,2002-12-21 00:00:00+00:00
Devendra Kumar Arora,male,1957-06-20T00:00:00Z,Uttar Pradesh,Not Available,2009-04-13T00:00:00Z,2019-06-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,No,No,No,Not Available,Not Available,Not Available,Lucknow University,1982,1983,Uttar Pradesh,No,No,Yes,,2009-04-13 00:00:00+00:00
Devendra Kumar Upadhyaya,male,1965-06-16T00:00:00Z,Uttar Pradesh,Not Available,2011-11-21T00:00:00Z,2027-06-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Lucknow University,1991,1991,Uttar Pradesh,No,No,No,,2011-11-21 00:00:00+00:00
Devendra Pratap Singh,male,1952-12-20T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2014-12-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Allahabad University,Arts,"A.P.S. University, Rewa",1976,1976,Uttar Pradesh,No,No,No,,2002-12-21 00:00:00+00:00
Devi Prasad Singh,male,1953-01-20T00:00:00Z,Uttar Pradesh,Not Available,2003-12-21T00:00:00Z,2015-01-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Avadh University,Not Available,Avadh University,1976,1976,Not Available,No,No,No,,2003-12-21 00:00:00+00:00
Dhani Ram Chaudhary,male,1941-07-24T00:00:00Z,Not Available,Not Available,1999-03-26T00:00:00Z,2003-07-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,1999-03-26 00:00:00+00:00
Dharam Veer Sharma,male,1948-10-02T00:00:00Z,Uttar Pradesh,Not Available,2005-10-20T00:00:00Z,2010-10-01T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Not Available,1970,Not Applicable,Not Applicable,No,No,No,,2005-10-20 00:00:00+00:00
Dharnidhar Jha,male,1953-09-07T00:00:00Z,Bihar,Not Available,2006-11-06T00:00:00Z,2015-09-06T00:00:00Z,No,No,Patna,Yes,Allahabad,2011-12-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,2006-11-06 00:00:00+00:00
Dilip Gupta,male,1956-06-07T00:00:00Z,Uttar Pradesh,Not Available,2004-01-07T00:00:00Z,2018-06-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,SCIENCE,ALLAHABAD UNIVERSIRTY,1981,1981,Uttar Pradesh,No,No,No,,2004-01-07 00:00:00+00:00
Dilip Kumar Seth,male,1943-11-24T00:00:00Z,Not Available,Not Available,1994-12-19T00:00:00Z,2005-11-23T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1995-01-09T00:00:00Z,Calcutta,2000-08-04T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1968,Not Available,No,Yes,No,,1994-12-19 00:00:00+00:00
Dinesh Gupta,male,1953-07-28T00:00:00Z,Uttar Pradesh,Not Available,2011-09-05T00:00:00Z,2015-07-27T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Agra University,1978,1979,Not Available,No,No,No,,2011-09-05 00:00:00+00:00
Dinesh Kumar Singh,male,1966-08-18T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2028-08-17T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1992,1993,Uttar Pradesh,No,No,Yes,,2017-09-22 00:00:00+00:00
Dinesh Kumar Singh I,male,1959-06-24T00:00:00Z,Uttar Pradesh,Not Available,2017-07-07T00:00:00Z,2021-06-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Lucknow University,1982,Not Applicable,Not Applicable,No,No,No,,2017-07-07 00:00:00+00:00
Dinesh Maheshwari,male,1958-05-15T00:00:00Z,Rajasthan,Not Available,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-19T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Karnataka,Not Applicable,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Maharaja's College, University of Rajasthan, Jaipur",Science  (Physics),Jodhpur University,1980,1981,Rajasthan,No,No,No,,2004-09-02 00:00:00+00:00
Dinesh Pathak,male,1972-01-07T00:00:00Z,Not Available,Not Available,2019-12-12T00:00:00Z,2034-01-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1994,Not Available,No,No,No,,2019-12-12 00:00:00+00:00
Faiz Alam Khan,male,1963-01-26T00:00:00Z,Not Available,Not Available,2018-11-22T00:00:00Z,2025-01-25T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1986,Not Applicable,Not Applicable,No,No,No,,2018-11-22 00:00:00+00:00
Gandikota Sri Devi,female,1960-10-10T00:00:00Z,Uttar Pradesh,Not Available,2018-11-22T00:00:00Z,2022-10-09T00:00:00Z,No,No,Allahabad,Yes,Telangana,2019-05-14T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,Not Available,Not Available,Not Available,Not Available,1986,Not Available,Not Available,No,No,No,,2018-11-22 00:00:00+00:00
Ganga Prasad Srivastava,male,1946-02-01T00:00:00Z,Uttar Pradesh,Not Available,2005-02-07T00:00:00Z,2008-01-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Allahabad University,Arts,Allahabad University,1967,Not Applicable,Not Applicable,No,Yes,No,,2005-02-07 00:00:00+00:00
